,cue,response,humanA1,humanA2,humanB1,humanB2,frequency
1703,fire,heat,E,E-prop,E,E-prop,4
1704,fire,hot,E,E-prop,E,E-prop,10
1705,fire,water,T,T-ant,T,T-ant,3
1706,fish,chips,S,S-obj,S,S-obj,2
1707,fish,swim,E,E-beh,E,E-beh,4
1708,fish,trout,T,T-sub,T,T-sub,3
1709,fishing,boat,S,S-obj,S,S-obj,7
1710,fishing,line,S,S-obj,S,S-obj,5
1711,fishing,pole,S,S-obj,S,S-obj,7
1712,fishing,rod,S,S-obj,S,S-obj,9
1713,fist,anger,I,I-emo,I,I-emo,2
1714,fist,fight,S,S-action,S,S-action,6
1715,fist,hand,E,E-whole,E,E-whole,16
1716,fist,hit,S,S-action,S,S-action,4
1717,fist,punch,S,S-action,S,S-action,18
1718,flour,bake,S,S-action,S,S-action,5
1719,flower,bloom,E,E-state,E,E-state,4
1720,flute,glass,E,E-comp,E,E-comp,2
1721,flute,instrument,T,T-super,T,T-super,8
1722,flute,music,S,S-function,S,S-function,15
1723,fog,mist,T,T-syn,T,T-syn,11
1724,football,goal,S,S-obj,S,S-obj,3
1725,football,soccer,T,T-syn,T,T-syn,12
1726,football,sport,T,T-super,T,T-super,4
1727,fork,eat,S,S-action,S,S-action,5
1728,fork,spoon,T,T-coord,T,T-coord,21
1729,fork,utensil,T,T-super,T,T-super,4
1730,fox,animal,T,T-super,T,T-super,7
1731,fox,red,E,E-prop,E,E-prop,9
1732,frame,painting,S,S-obj,S,S-obj,4
1733,frame,picture,S,S-obj,S,S-obj,25
1734,freedom,liberty,T,T-syn,T,T-syn,11
1735,friend,buddy,T,T-syn,T,T-syn,7
1736,friend,enemy,T,T-ant,T,T-ant,6
1737,friend,foe,T,T-ant,T,T-ant,4
1738,friend,pal,T,T-syn,T,T-syn,7
1739,friendship,buddy,S,S-agent,S,S-agent,2
1740,friendship,friend,S,S-agent,S,S-agent,2
1741,friendship,friends,S,S-agent,S,S-agent,2
1742,frog,jump,E,E-beh,E,E-beh,5
1743,frog,toad,T,T-coord,T,T-coord,10
1744,funeral,black,S,S-context,S,S-context,9
1745,funeral,coffin,S,S-obj,S,S-obj,6
1746,funeral,sad,I,I-emo,I,I-emo,8
1747,furniture,chair,T,T-sub,T,T-sub,19
1748,furniture,couch,T,T-sub,T,T-sub,9
1749,furniture,sofa,T,T-sub,T,T-sub,7
1750,furniture,store,S,S-loc,S,S-loc,4
1751,future,past,T,T-ant,T,T-ant,16
1752,future,present,T,T-coord,T,T-coord,4
1753,garage,band,S,S-obj,S,S-obj,2
1754,garage,car,S,S-obj,S,S-obj,24
1755,garden,flowers,S,S-obj,S,S-obj,12
1756,genius,Einstein,T,T-sub,T,T-sub,9
1757,ghost,ghoul,T,T-coord,T,T-coord,3
1758,ghost,phantom,T,T-coord,T,T-coord,3
1759,ghost,spirit,T,T-syn,T,T-syn,8
1760,giraffe,Africa,S,S-loc,S,S-loc,8
1761,giraffe,animal,T,T-super,T,T-super,7
1762,giraffe,neck,E,E-comp,E,E-comp,14
1763,giraffe,spots,E,E-prop,E,E-prop,9
1764,giraffe,tall,E,E-prop,E,E-prop,15
1765,girlfriend,wife,I,I-contin,I,I-contin,5
1766,glass,clear,E,E-prop,E,E-prop,10
1767,glass,cup,T,T-coord,T,T-coord,6
1768,glass,drink,S,S-action,S,S-action,9
1769,glass,water,S,S-obj,S,S-obj,5
1770,glass,wine,S,S-obj,S,S-obj,4
1771,goat,animal,T,T-super,T,T-super,4
1772,goat,Billy,T,T-sub,T,T-sub,6
1773,goat,sheep,T,T-coord,T,T-coord,7
1774,goose,bird,T,T-super,T,T-super,6
1775,goose,duck,T,T-coord,T,T-coord,9
1776,government,bad,I,I-eval,I,I-eval,1
1777,grape,fruit,T,T-super,T,T-super,15
1778,grape,purple,E,E-prop,E,E-prop,9
1779,grass,pot,T,T-syn,T,T-syn,3
1780,grass,weed,T,T-syn,T,T-syn,4
1781,guest,visitor,T,T-syn,T,T-syn,6
1782,ham,cheese,S,S-obj,S,S-obj,6
1783,hammer,hit,S,S-action,S,S-action,5
1784,hammer,tool,T,T-super,T,T-super,7
1785,hamster,wheel,S,S-obj,S,S-obj,11
1786,hand,finger,E,E-comp,E,E-comp,5
1787,hand,fingers,E,E-comp,E,E-comp,6
1788,handkerchief,nose,S,S-obj,S,S-obj,7
1789,heaven,angels,S,S-agent,S,S-agent,3
1790,heaven,clouds,S,S-obj,S,S-obj,7
1791,heaven,God,S,S-agent,S,S-agent,12
1792,heaven,hell,T,T-ant,T,T-ant,15
1793,height,cliff,S,S-obj,S,S-obj,1
1794,helicopter,blades,E,E-comp,E,E-comp,5
1795,helicopter,fly,S,S-function,S,S-function,8
1796,helicopter,plane,T,T-coord,T,T-coord,5
1797,helicopter,rotor,E,E-comp,E,E-comp,5
1798,hell,heaven,T,T-ant,T,T-ant,11
1799,helmet,hat,T,T-coord,T,T-coord,5
1800,helmet,protection,S,S-function,S,S-function,5
1801,hen,chicken,T,T-super,T,T-super,26
1802,hen,cock,T,T-coord,T,T-coord,3
1803,hen,egg,S,S-obj,S,S-obj,15
1804,hen,eggs,S,S-obj,S,S-obj,5
1805,hen,rooster,T,T-coord,T,T-coord,11
1806,history,book,S,S-obj,S,S-obj,3
1807,hobby,activity,T,T-super,T,T-super,3
1808,honey,bee,S,S-agent,S,S-agent,14
1809,honey,bees,S,S-agent,S,S-agent,7
1810,honey,sweet,E,E-prop,E,E-prop,16
1811,horse,animal,T,T-super,T,T-super,7
1812,horse,cow,T,T-coord,T,T-coord,3
1813,horse,equine,T,T-super,T,T-super,2
1814,hospital,bed,S,S-obj,S,S-obj,4
1815,hospital,doctor,S,S-agent,S,S-agent,10
1816,hospital,ill,S,S-context,S,S-context,2
1817,hospital,nurse,S,S-agent,S,S-agent,7
1818,hospital,sick,S,S-context,S,S-context,10
1819,humor,British,T,T-sub,T,T-sub,1
1820,humor,joke,S,S-obj,S,S-obj,6
1821,humor,laugh,S,S-action,S,S-action,14
1822,humor,laughter,S,S-action,S,S-action,5
1823,husband,marriage,S,S-time,S,S-time,4
1824,husband,spouse,T,T-syn,T,T-syn,7
1825,ice,cold,E,E-prop,E,E-prop,23
1826,identity,person,E,E-whole,E,E-whole,5
1827,import,China,S,S-loc,S,S-loc,3
1828,impression,dent,T,T-syn,T,T-syn,2
1829,impression,idea,T,T-syn,T,T-syn,4
1830,impression,painting,T,T-sub,T,T-sub,2
1831,insect,bug,T,T-syn,T,T-syn,21
1832,insect,fly,T,T-sub,T,T-sub,4
1833,insect,grasshopper,T,T-sub,T,T-sub,2
1834,insurance,money,S,S-obj,S,S-obj,6
1835,insurance,policy,S,S-obj,S,S-obj,6
1836,interview,questioning,S,S-action,S,S-action,1
1837,interview,talk,S,S-action,S,S-action,3
1838,iron,board,S,S-obj,S,S-obj,3
1839,iron,clothes,S,S-obj,S,S-obj,3
1840,iron,metal,T,T-super,T,T-super,8
1841,island,ocean,S,S-loc,S,S-loc,5
1842,island,water,S,S-obj,S,S-obj,7
1843,jeans,comfortable,I,I-eval,I,I-eval,2
1844,jeans,pants,T,T-super,T,T-super,14
1845,jeans,trousers,T,T-super,T,T-super,3
1846,joke,haha,S,S-action,S,S-action,2
1847,joke,laugh,S,S-action,S,S-action,17
1848,joke,laughter,S,S-action,S,S-action,2
1849,kidney,bean,T,T-super,T,T-super,12
1850,kidney,liver,T,T-coord,T,T-coord,4
1851,kidney,organ,T,T-super,T,T-super,8
1852,kidney,stone,S,S-obj,S,S-obj,10
1853,kidney,stones,S,S-obj,S,S-obj,3
1854,killer,murder,S,S-action,S,S-action,7
1855,killer,murderer,T,T-syn,T,T-syn,11
1856,killer,serial,T,T-sub,T,T-sub,5
1857,killer,whale,T,T-super,T,T-super,5
1858,kitchen,food,S,S-obj,S,S-obj,13
1859,kitchen,sink,S,S-obj,S,S-obj,8
1860,kite,flying,S,S-action,S,S-action,3
1861,kite,string,E,E-comp,E,E-comp,9
1862,knee,elbow,T,T-coord,T,T-coord,5
1863,knee,leg,E,E-whole,E,E-whole,11
1864,knowledge,book,S,S-obj,S,S-obj,4
1865,knowledge,learning,S,S-action,S,S-action,3
1866,lake,deep,E,E-state,E,E-state,1
1867,lake,pond,T,T-coord,T,T-coord,9
1868,lake,river,T,T-coord,T,T-coord,2
1869,lake,water,E,E-comp,E,E-comp,18
1870,language,English,T,T-sub,T,T-sub,9
1871,language,speak,S,S-action,S,S-action,6
1872,language,tongue,T,T-syn,T,T-syn,2
1873,lantern,Chinese,T,T-sub,T,T-sub,1
1874,laser,light,E,E-comp,E,E-comp,11
1875,law,police,S,S-agent,S,S-agent,8
1876,leaf,autumn,S,S-time,S,S-time,3
1877,leaf,fall,S,S-time,S,S-time,6
1878,leg,appendage,T,T-super,T,T-super,2
1879,leg,knee,E,E-comp,E,E-comp,4
1880,leg,limb,T,T-super,T,T-super,5
1881,legend,hero,S,S-agent,S,S-agent,8
1882,letter,alphabet,E,E-whole,E,E-whole,10
1883,letter,box,T,T-super,T,T-super,3
1884,lettuce,cabbage,T,T-coord,T,T-coord,4
1885,lettuce,tomato,T,T-coord,T,T-coord,5
1886,lettuce,vegetable,T,T-super,T,T-super,6
1887,library,books,S,S-obj,S,S-obj,22
1888,light,dark,T,T-ant,T,T-ant,10
1889,light,heavy,T,T-ant,T,T-ant,3
1890,link,connect,T,T-syn,T,T-syn,5
1891,link,connection,T,T-syn,T,T-syn,6
1892,lobster,crab,T,T-coord,T,T-coord,7
1893,lobster,seafood,T,T-super,T,T-super,5
1894,luggage,bag,T,T-sub,T,T-sub,6
1895,luggage,suitcase,T,T-sub,T,T-sub,10
1896,lunch,dinner,T,T-coord,T,T-coord,10
1897,lunch,eat,S,S-action,S,S-action,8
1898,lunch,meal,T,T-super,T,T-super,5
1899,lung,organ,T,T-super,T,T-super,6
1900,machine,metal,E,E-comp,E,E-comp,4
1901,mammal,animal,T,T-super,T,T-super,10
1902,mammal,dog,T,T-sub,T,T-sub,3
1903,mammal,human,T,T-sub,T,T-sub,10
1904,mammal,whale,T,T-sub,T,T-sub,8
1905,mandarin,China,S,S-loc,S,S-loc,8
1906,mandarin,fruit,T,T-super,T,T-super,5
1907,mandarin,language,T,T-super,T,T-super,6
1908,mandarin,orange,T,T-coord,T,T-coord,26
1909,mango,fruit,T,T-super,T,T-super,23
1910,mango,orange,T,T-coord,T,T-coord,10
1911,mango,papaya,T,T-coord,T,T-coord,2
1912,mango,ripe,E,E-state,E,E-state,1
1913,map,cartography,E,E-whole,E,E-whole,3
1914,market,food,S,S-obj,S,S-obj,5
1915,market,sell,S,S-action,S,S-action,6
1916,marriage,husband,S,S-agent,S,S-agent,4
1917,marriage,wife,S,S-agent,S,S-agent,4
1918,material,stuff,T,T-syn,T,T-syn,4
1919,meat,beef,T,T-sub,T,T-sub,9
1920,meat,food,T,T-super,T,T-super,7
1921,meat,steak,T,T-sub,T,T-sub,6
1922,meeting,boring,I,I-eval,I,I-eval,5
1923,melody,music,E,E-whole,E,E-whole,17
1924,melon,fruit,T,T-super,T,T-super,10
1925,method,way,T,T-syn,T,T-syn,10
1926,microscope,bacteria,S,S-obj,S,S-obj,5
1927,microscope,small,S,S-context,S,S-context,4
1928,microscope,tiny,S,S-context,S,S-context,5
1929,milk,drink,S,S-action,S,S-action,6
1930,milk,white,E,E-prop,E,E-prop,11
1931,miner,mine,S,S-loc,S,S-loc,3
1932,miner,ore,S,S-obj,S,S-obj,1
1933,mint,green,E,E-prop,E,E-prop,6
1934,mint,herb,T,T-super,T,T-super,4
1935,miracle,God,S,S-agent,S,S-agent,7
1936,miracle,Jesus,S,S-agent,S,S-agent,4
1937,miracle,wonder,T,T-syn,T,T-syn,3
1938,mirror,glass,E,E-comp,E,E-comp,8
1939,mirror,reflection,E,E-prop,E,E-prop,18
1940,money,dollar,T,T-sub,T,T-sub,4
1941,money,dollars,T,T-sub,T,T-sub,4
1942,monkey,animal,T,T-super,T,T-super,3
1943,monkey,banana,S,S-obj,S,S-obj,8
1944,monkey,chimp,T,T-sub,T,T-sub,5
1945,monster,scary,I,I-eval,I,I-eval,10
1946,mood,emotion,T,T-coord,T,T-coord,6
1947,moon,night,S,S-time,S,S-time,6
1948,moonlight,night,S,S-time,S,S-time,10
1949,moonlight,stars,S,S-obj,S,S-obj,5
1950,mountain,climb,S,S-action,S,S-action,6
1951,mountain,hill,T,T-coord,T,T-coord,6
1952,mountain,snow,S,S-obj,S,S-obj,6
1953,muscle,bicep,T,T-sub,T,T-sub,3
1954,museum,art,S,S-obj,S,S-obj,13
1955,museum,artifacts,S,S-obj,S,S-obj,2
1956,museum,dinosaur,S,S-obj,S,S-obj,3
1957,museum,old,S,S-context,S,S-context,7
1958,neck,kiss,S,S-action,S,S-action,4
1959,necklace,jewelry,T,T-super,T,T-super,14
1960,news,information,T,T-syn,T,T-syn,8
1961,noon,midday,T,T-syn,T,T-syn,7
1962,notebook,pen,S,S-obj,S,S-obj,7
1963,novel,new,T,T-syn,T,T-syn,13
1964,novel,read,S,S-action,S,S-action,6
1965,nurse,baby,S,S-agent,S,S-agent,2
1966,nurse,hospital,S,S-loc,S,S-loc,12
1967,nut,acorn,T,T-sub,T,T-sub,3
1968,nut,almond,T,T-sub,T,T-sub,4
1969,ocean,sea,T,T-coord,T,T-coord,16
1970,ocean,water,E,E-comp,E,E-comp,12
1971,office,work,S,S-action,S,S-action,15
1972,oil,money,I,I-contin,I,I-contin,4
1973,onion,cry,S,S-action,S,S-action,8
1974,onion,crying,S,S-action,S,S-action,2
1975,organ,body,E,E-whole,E,E-whole,5
1976,organ,heart,T,T-sub,T,T-sub,13
1977,organ,piano,T,T-coord,T,T-coord,6
1978,oven,cook,S,S-action,S,S-action,5
1979,owl,bird,T,T-super,T,T-super,18
1980,owl,eyes,E,E-comp,E,E-comp,8
1981,palace,castle,T,T-coord,T,T-coord,10
1982,palace,king,S,S-agent,S,S-agent,12
1983,palace,queen,S,S-agent,S,S-agent,8
1984,parachute,jump,S,S-action,S,S-action,9
1985,parachute,open,S,S-targetstate,S,S-targetstate,3
1986,parachute,silk,E,E-comp,E,E-comp,4
1987,paragraph,writing,S,S-action,S,S-action,9
1988,parrot,bird,T,T-super,T,T-super,20
1989,parrot,pirate,S,S-agent,S,S-agent,6
1990,part,hair,S,S-obj,S,S-obj,10
1991,part,piece,T,T-syn,T,T-syn,12
1992,part,section,T,T-syn,T,T-syn,4
1993,peace,dove,I,I-contin,I,I-contin,5
1994,penguin,bird,T,T-super,T,T-super,12
1995,penguin,black,E,E-prop,E,E-prop,7
1996,penguin,cold,S,S-context,S,S-context,6
1997,penguin,ice,S,S-obj,S,S-obj,5
1998,phenomenon,amazing,I,I-eval,I,I-eval,3
1999,phenomenon,event,T,T-syn,T,T-syn,6
2000,phenomenon,occurrence,T,T-syn,T,T-syn,4
2001,philosophy,Socrates,S,S-agent,S,S-agent,5
2002,photo,picture,T,T-syn,T,T-syn,21
2003,physics,astronomy,T,T-coord,T,T-coord,3
2004,physics,chemistry,T,T-coord,T,T-coord,4
2005,physics,math,T,T-coord,T,T-coord,5
2006,physics,science,T,T-super,T,T-super,17
2007,pig,bacon,I,I-contin,I,I-contin,8
2008,pig,oink,E,E-beh,E,E-beh,6
2009,pig,pink,E,E-prop,E,E-prop,10
2010,pig,snout,E,E-comp,E,E-comp,4
2011,pirate,steal,S,S-action,S,S-action,4
2012,pizza,food,T,T-super,T,T-super,7
2013,pizza,Italian,E,E-prop,E,E-prop,6
2014,pizza,pie,T,T-coord,T,T-coord,5
2015,plan,organize,T,T-syn,T,T-syn,4
2016,platform,base,T,T-syn,T,T-syn,1
2017,platform,stage,T,T-syn,T,T-syn,11
2018,poem,sonnet,T,T-sub,T,T-sub,4
2019,poet,artist,T,T-coord,T,T-coord,3
2020,poet,Shakespeare,T,T-sub,T,T-sub,3
2021,poet,words,S,S-obj,S,S-obj,6
2022,poet,writer,T,T-coord,T,T-coord,6
2023,pork,beef,T,T-coord,T,T-coord,4
2024,poster,sign,T,T-coord,T,T-coord,2
2025,poster,wall,S,S-loc,S,S-loc,12
2026,potato,spud,T,T-syn,T,T-syn,5
2027,potato,vegetable,T,T-super,T,T-super,4
2028,process,method,T,T-syn,T,T-syn,5
2029,process,procedure,T,T-syn,T,T-syn,5
2030,product,goods,T,T-syn,T,T-syn,2
2031,product,item,T,T-syn,T,T-syn,5
2032,product,result,T,T-syn,T,T-syn,3
2033,project,done,S,S-targetstate,S,S-targetstate,1
2034,project,task,T,T-syn,T,T-syn,4
2035,project,work,S,S-action,S,S-action,12
2036,psychologist,doctor,T,T-coord,T,T-coord,9
2037,psychologist,shrink,T,T-syn,T,T-syn,8
2038,psychology,science,T,T-super,T,T-super,3
2039,psychology,sociology,T,T-coord,T,T-coord,2
2040,pudding,dessert,T,T-super,T,T-super,8
2041,pudding,pie,T,T-coord,T,T-coord,3
2042,pumpkin,Halloween,S,S-time,S,S-time,14
2043,pumpkin,orange,E,E-prop,E,E-prop,13
2044,rabbit,ears,E,E-comp,E,E-comp,5
2045,rabbit,hop,E,E-beh,E,E-beh,4
2046,radiation,bomb,S,S-obj,S,S-obj,3
2047,radiation,X-ray,S,S-obj,S,S-obj,4
2048,radio,television,T,T-coord,T,T-coord,4
2049,rain,wet,E,E-prop,E,E-prop,14
2050,rainbow,arc,E,E-prop,E,E-prop,4
2051,rainbow,colorful,E,E-prop,E,E-prop,2
2052,raincoat,wet,S,S-context,S,S-context,6
2053,rape,bad,I,I-eval,I,I-eval,3
2054,rape,horrible,I,I-eval,I,I-eval,1
2055,rape,sex,S,S-action,S,S-action,5
2056,rape,woman,S,S-agent,S,S-agent,3
2057,reality,matrix,I,I-contin,I,I-contin,2
2058,record,album,T,T-syn,T,T-syn,3
2059,record,tape,T,T-coord,T,T-coord,6
2060,refugee,Africa,S,S-loc,S,S-loc,2
2061,refugee,asylum,S,S-action,S,S-action,3
2062,refugee,flee,S,S-action,S,S-action,2
2063,refugee,war,S,S-time,S,S-time,10
2064,relationship,friends,S,S-agent,S,S-agent,2
2065,relationship,girlfriend,S,S-agent,S,S-agent,3
2066,religion,Christianity,T,T-sub,T,T-sub,4
2067,religion,God,S,S-agent,S,S-agent,13
2068,resident,home,S,S-loc,S,S-loc,7
2069,resident,house,S,S-loc,S,S-loc,6
2070,revenge,anger,I,I-emo,I,I-emo,10
2071,revenge,avenge,T,T-syn,T,T-syn,2
2072,revenge,mean,I,I-eval,I,I-eval,3
2073,revolution,American,T,T-sub,T,T-sub,2
2074,revolution,war,S,S-time,S,S-time,5
2075,risk,chance,T,T-syn,T,T-syn,4
2076,risk,game,T,T-super,T,T-super,8
2077,rocket,fire,S,S-obj,S,S-obj,4
2078,rocket,space,S,S-loc,S,S-loc,15
2079,roof,house,E,E-whole,E,E-whole,16
2080,roommate,college,S,S-loc,S,S-loc,6
2081,roommate,dorm,S,S-loc,S,S-loc,3
2082,roommate,share,S,S-action,S,S-action,6
2083,root,tree,E,E-whole,E,E-whole,15
2084,rope,climb,S,S-action,S,S-action,5
2085,rope,hang,S,S-action,S,S-action,8
2086,rope,knot,S,S-obj,S,S-obj,7
2087,rope,tie,S,S-action,S,S-action,8
2088,ruler,inches,S,S-obj,S,S-obj,3
2089,ruler,king,T,T-sub,T,T-sub,15
2090,ruler,measurement,S,S-function,S,S-function,4
2091,sacrifice,give up,T,T-syn,T,T-syn,4
2092,sacrifice,Jesus,S,S-agent,S,S-agent,4
2093,salad,healthy,I,I-eval,I,I-eval,4
2094,salmon,Alaska,S,S-loc,S,S-loc,1
2095,salmon,color,T,T-super,T,T-super,3
2096,salmon,fish,T,T-super,T,T-super,29
2097,sandwich,eat,S,S-action,S,S-action,2
2098,sandwich,food,T,T-super,T,T-super,5
2099,satellite,space,S,S-loc,S,S-loc,19
2100,sausage,breakfast,S,S-time,S,S-time,6
2101,scandal,gossip,S,S-action,S,S-action,5
2102,scandal,newspaper,S,S-obj,S,S-obj,2
2103,scarf,knit,S,S-action,S,S-action,2
2104,scarf,winter,S,S-time,S,S-time,6
2105,scholarship,smart,I,I-contin,I,I-contin,2
2106,school,education,S,S-function,S,S-function,4
2107,science,study,S,S-action,S,S-action,6
2108,sculpture,art,T,T-super,T,T-super,14
2109,sculpture,David,T,T-sub,T,T-sub,5
2110,sculpture,painting,T,T-coord,T,T-coord,2
2111,season,autumn,T,T-sub,T,T-sub,4
2112,season,fall,T,T-sub,T,T-sub,13
2113,season,spring,T,T-sub,T,T-sub,9
2114,season,summer,T,T-sub,T,T-sub,10
2115,season,winter,T,T-sub,T,T-sub,16
2116,seaweed,beach,S,S-loc,S,S-loc,4
2117,seaweed,kelp,T,T-sub,T,T-sub,7
2118,seaweed,ocean,S,S-loc,S,S-loc,12
2119,sentence,word,E,E-comp,E,E-comp,6
2120,sentence,words,E,E-comp,E,E-comp,12
2121,shape,circle,T,T-sub,T,T-sub,11
2122,shape,round,T,T-sub,T,T-sub,6
2123,shape,square,T,T-sub,T,T-sub,13
2124,shape,triangle,T,T-sub,T,T-sub,7
2125,shark,fish,T,T-super,T,T-super,11
2126,sheep,animal,T,T-super,T,T-super,3
2127,shorts,legs,S,S-obj,S,S-obj,6
2128,shorts,summer,S,S-time,S,S-time,11
2129,shorts,trousers,T,T-coord,T,T-coord,4
2130,silver,metal,T,T-super,T,T-super,7
2131,singer,artist,T,T-super,T,T-super,3
2132,singer,music,S,S-obj,S,S-obj,7
2133,singer,song,S,S-obj,S,S-obj,10
2134,sister,sibling,T,T-super,T,T-super,9
2135,skateboard,kids,S,S-agent,S,S-agent,2
2136,skateboard,skater,S,S-agent,S,S-agent,2
2137,skateboard,wheels,E,E-comp,E,E-comp,7
2138,skin,touch,S,S-action,S,S-action,2
2139,sky,clouds,S,S-obj,S,S-obj,10
2140,slave,bad,I,I-eval,I,I-eval,1
2141,snail,slug,T,T-coord,T,T-coord,5
2142,snake,hiss,E,E-beh,E,E-beh,3
2143,snake,reptile,T,T-super,T,T-super,6
2144,snake,serpent,T,T-syn,T,T-syn,5
2145,snake,slither,E,E-beh,E,E-beh,11
2146,socialism,communism,T,T-coord,T,T-coord,8
2147,socialism,Marx,S,S-agent,S,S-agent,5
2148,soldier,warrior,T,T-syn,T,T-syn,2
2149,son,boy,E,E-prop,E,E-prop,8
2150,son,father,T,T-coord,T,T-coord,9
2151,son,offspring,T,T-super,T,T-super,3
2152,soup,food,T,T-super,T,T-super,4
2153,speech,talk,S,S-action,S,S-action,15
2154,spell,word,S,S-obj,S,S-obj,8
2155,spell,words,S,S-obj,S,S-obj,4
2156,spider,black,E,E-prop,E,E-prop,5
2157,spider,legs,E,E-comp,E,E-comp,8
2158,spoon,food,S,S-obj,S,S-obj,4
2159,spoon,fork,T,T-coord,T,T-coord,22
2160,spoon,knife,T,T-coord,T,T-coord,12
2161,sport,baseball,T,T-sub,T,T-sub,4
2162,sport,basketball,T,T-sub,T,T-sub,4
2163,sport,football,T,T-sub,T,T-sub,9
2164,sport,soccer,T,T-sub,T,T-sub,7
2165,spring,fall,T,T-coord,T,T-coord,6
2166,spring,season,T,T-super,T,T-super,6
2167,spring,summer,T,T-coord,T,T-coord,7
2168,squirrel,animal,T,T-super,T,T-super,3
2169,squirrel,cute,I,I-eval,I,I-eval,3
2170,squirrel,nut,S,S-obj,S,S-obj,7
2171,squirrel,nuts,S,S-obj,S,S-obj,12
2172,stomach,belly,T,T-syn,T,T-syn,5
2173,stomach,food,S,S-obj,S,S-obj,11
2174,stone,pebble,T,T-sub,T,T-sub,3
2175,stone,rock,T,T-syn,T,T-syn,25
2176,strawberry,fruit,T,T-super,T,T-super,12
2177,strawberry,red,E,E-prop,E,E-prop,15
2178,street,avenue,T,T-coord,T,T-coord,11
2179,street,lane,T,T-coord,T,T-coord,4
2180,structure,architect,S,S-agent,S,S-agent,2
2181,structure,build,S,S-action,S,S-action,1
2182,structure,construction,S,S-action,S,S-action,2
2183,struggle,battle,T,T-syn,T,T-syn,2
2184,success,money,S,S-obj,S,S-obj,7
2185,suicide,dead,S,S-context,S,S-context,2
2186,suicide,kill,S,S-action,S,S-action,10
2187,sunrise,dawn,S,S-time,S,S-time,6
2188,sunrise,morning,S,S-time,S,S-time,12
2189,sunset,beautiful,I,I-eval,I,I-eval,4
2190,sunset,dusk,S,S-time,S,S-time,2
2191,supermarket,food,S,S-obj,S,S-obj,17
2192,swan,bird,T,T-super,T,T-super,14
2193,sweater,cold,S,S-context,S,S-context,5
2194,sweater,vest,T,T-coord,T,T-coord,4
2195,sword,blade,E,E-comp,E,E-comp,4
2196,sword,weapon,T,T-super,T,T-super,6
2197,tail,animal,E,E-whole,E,E-whole,5
2198,tattoo,ink,E,E-comp,E,E-comp,13
2199,tattoo,mark,T,T-super,T,T-super,4
2200,tattoo,piercing,T,T-coord,T,T-coord,1
2201,teacher,educator,T,T-syn,T,T-syn,3
2202,teacher,mentor,T,T-syn,T,T-syn,3
2203,teacher,school,S,S-loc,S,S-loc,12
2204,teacher,student,T,T-ant,T,T-ant,9
2205,teenager,young,E,E-prop,E,E-prop,8
2206,teeth,dentist,S,S-agent,S,S-agent,7
2207,teeth,mouth,S,S-loc,S,S-loc,6
2208,teeth,white,E,E-prop,E,E-prop,14
2209,telescope,lens,E,E-comp,E,E-comp,5
2210,tennis,sport,T,T-super,T,T-super,4
2211,theory,idea,T,T-syn,T,T-syn,9
2212,thermometer,hot,S,S-context,S,S-context,6
2213,thermometer,sick,S,S-context,S,S-context,4
2214,thermometer,temperature,E,E-prop,E,E-prop,22
2215,thief,night,S,S-time,S,S-time,2
2216,throat,cough,S,S-action,S,S-action,6
2217,throat,swallow,S,S-action,S,S-action,9
2218,thumb,hand,E,E-whole,E,E-whole,13
2219,tiger,animal,T,T-super,T,T-super,3
2220,tiger,cat,T,T-super,T,T-super,8
2221,time,clock,S,S-obj,S,S-obj,14
2222,time,watch,S,S-obj,S,S-obj,5
2223,toe,digit,T,T-super,T,T-super,2
2224,toe,foot,E,E-whole,E,E-whole,23
2225,tongue,lick,S,S-action,S,S-action,7
2226,tongue,taste,S,S-function,S,S-function,11
2227,toothbrush,paste,S,S-obj,S,S-obj,4
2228,toothbrush,teeth,S,S-obj,S,S-obj,14
2229,toothbrush,toothpaste,S,S-obj,S,S-obj,18
2230,towel,bathroom,S,S-loc,S,S-loc,1
2231,towel,shower,S,S-obj,S,S-obj,7
2232,toy,child,S,S-agent,S,S-agent,7
2233,toy,play,S,S-action,S,S-action,11
2234,tradition,holiday,S,S-time,S,S-time,4
2235,tragedy,sad,I,I-emo,I,I-emo,12
2236,tragedy,sadness,I,I-emo,I,I-emo,4
2237,trap,ackbar,S,S-agent,S,S-agent,1
2238,tree,leaf,E,E-comp,E,E-comp,4
2239,truth,fact,T,T-syn,T,T-syn,3
2240,tunnel,dig,S,S-action,S,S-action,4
2241,uncle,brother,T,T-coord,T,T-coord,3
2242,uncle,man,E,E-prop,E,E-prop,4
2243,uncle,relative,T,T-super,T,T-super,5
2244,university,study,S,S-action,S,S-action,6
2245,valley,dale,T,T-syn,T,T-syn,2
2246,value,worth,T,T-syn,T,T-syn,15
2247,video,audio,T,T-ant,T,T-ant,4
2248,vinegar,acid,E,E-prop,E,E-prop,4
2249,vinegar,oil,T,T-coord,T,T-coord,8
2250,vinegar,sour,E,E-prop,E,E-prop,13
2251,violence,hurt,S,S-context,S,S-context,5
2252,violin,instrument,T,T-super,T,T-super,6
2253,visa,credit card,T,T-super,T,T-super,7
2254,volcano,ash,S,S-obj,S,S-obj,4
2255,volcano,erupt,E,E-beh,E,E-beh,9
2256,volleyball,sport,T,T-super,T,T-super,5
2257,water,H2O,T,T-syn,T,T-syn,1
2258,water,lake,E,E-whole,E,E-whole,3
2259,watermelon,fruit,T,T-super,T,T-super,12
